,loss,global_pointer_f1_score
0,1851855.0066840788,0.11028090749382972
1,1851852.8406748245,0.4005332325617472
2,1851852.686976067,0.4642448454062144
3,1851852.6189309298,0.5006190946261088
4,1851852.579659545,0.5243669554551442
5,1851852.550549989,0.540093317826589
6,1851852.5265467134,0.5579165485064189
7,1851852.5112174458,0.5679158945719401
8,1851852.4976148878,0.5728279308954874
9,1851852.4845238575,0.5862769894282023
10,1851852.4748325946,0.5943297646840413
11,1851852.462303697,0.5991572249094645
12,1851852.4530522192,0.6051811118443807
13,1851852.4450397152,0.6135771006584168
14,1851852.4370741912,0.6195783068656922
15,1851852.4327593893,0.6205247650464376
16,1851852.423526095,0.6270587155024211
17,1851852.4170982088,0.6327306661287944
18,1851852.4111062258,0.6355000423113505
19,1851852.406713896,0.641420334370931
20,1851852.3977203756,0.6428937688509623
21,1851852.394087907,0.6453389863014222
22,1851852.3878019291,0.651749179649353
23,1851852.3828596189,0.6521165283521017
24,1851852.3767592264,0.6570725413958232
25,1851852.3715870671,0.6619967321713766
26,1851852.367784881,0.6632774559020996
27,1851852.3640188898,0.6693865480422974
28,1851852.3600847474,0.6690409245173137
29,1851852.355280385,0.6724235067685446
30,1851852.3508997746,0.674955887889862
31,1851852.3474714772,0.6797815073013306
32,1851852.3412946733,0.6820172363917033
33,1851852.3398610079,0.6844046458880106
34,1851852.3326232142,0.6878906390190125
35,1851852.3289626709,0.6922683409372965
36,1851852.3273146874,0.6928885173161825
37,1851852.3235607047,0.6926138634681702
38,1851852.319881754,0.6978315642674764
39,1851852.3166888098,0.7000900918006897
40,1851852.311216555,0.7032422647794088
41,1851852.3075453104,0.7038226797739665
42,1851852.3046165006,0.7057839870452881
43,1851852.3000649146,0.7106808381398518
44,1851852.2970775086,0.7121268482208252
45,1851852.2942912383,0.7129519958496093
46,1851852.2915681913,0.7161672472318014
47,1851852.286564056,0.7180371631304423
48,1851852.2841259674,0.7204505411465962
49,1851852.2798069026,0.7243874521891276
50,1851852.2774659875,0.7253231451352438
51,1851852.2728823607,0.7260589593569438
52,1851852.252173678,0.7432488117218018
53,1851852.252173678,0.7432488117218018
54,1851852.2480843142,0.7462567573865255
55,1851852.243989633,0.7492364220937093
56,1851852.2412257227,0.7504042774836223
57,1851852.2384332775,0.7525510853767395
58,1851852.23390332,0.7540918152809143
